matchNameDuplicate;team;position;accurateFwdZonePass;accurateLongBalls;accuratePass;aerialLost;aerialWon;attOpenplay;attemptsConcededIbox;attemptsConcededObox;attemptsIbox;attemptsObox;backwardPass;ballRecovery;bigChanceCreated;bigChanceMissed;bigChanceScored;blockedCross;blockedPass;diveSave;divingSave;duelLost;duelWon;effectiveBlockedCross;effectiveClearance;effectiveHeadClearance;finalThirdEntries;fouledFinalThird;fouls;fwdPass;goalKicks;goals;goalsConceded;goalsConcededIbox;goalsConcededObox;goalsOpenplay;headClearance;headPass;interception;interceptionWon;interceptionsInBox;minsPlayed;offtargetAttAssist;ontargetAttAssist;ontargetScoringAtt;openPlayPass;passesLeft;passesRight;penAreaEntries;possLostAll;possLostCtrl;possWonAtt3rd;possWonDef3rd;possWonMid3rd;putThrough;rightsidePass;savedIbox;savedObox;saves;shotOffTarget;successfulFinalThirdPasses;successfulOpenPlayPass;successfulPutThrough;timesTackled;totalAttAssist;totalBackZonePass;totalClearance;totalContest;totalCornersIntobox;totalCrossNocorner;totalFinalThirdPasses;totalFwdZonePass;totalHighClaim;totalLaunches;totalLayoffs;totalLongBalls;totalOffside;totalPass;totalScoringAtt;totalSubOff;totalSubOn;totalTackle;touches;touchesInOppBox;unsuccessfulTouch;wasFouled;winningGoal;wonContest;wonCorners;wonTackle;yellowCard
A. Kamara;ARIS;Forward;11;1;16;1;3;1;5;9;0;1;3;8;0;0;0;0;2;0;0;5;7;0;6;4;1;1;2;9;0;0;1;1;0;0;4;3;0;0;0;89;0;1;1;22;4;4;1;12;12;0;3;5;2;7;0;0;0;0;5;15;2;2;1;5;6;1;0;1;8;19;0;0;1;1;1;23;1;1;0;1;43;2;2;3;0;0;0;0;1
Julian Cuesta;ARIS;Goalkeeper;6;8;20;0;0;0;7;11;0;0;0;11;0;0;0;0;0;1;3;0;0;0;0;0;5;0;0;23;10;0;1;1;0;0;0;0;0;0;0;90;0;0;0;11;3;0;0;9;9;0;0;0;0;4;3;1;4;0;1;9;0;0;0;17;0;0;0;0;5;12;2;0;0;17;0;29;0;0;0;0;40;0;0;0;0;0;0;0;0
Pep Biel;OSFP;Forward Midfield;9;1;11;0;0;0;1;1;0;0;3;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;2;0;0;1;1;0;0;0;0;0;0;0;31;1;1;0;11;1;3;0;1;1;0;0;0;0;2;0;0;0;0;6;11;0;1;2;2;0;0;0;0;6;9;0;0;0;1;0;11;0;0;1;1;13;1;0;0;0;0;0;1;0
J. Iturbe;ARIS;Forward Midfield;4;2;7;1;0;0;3;6;0;0;1;4;0;0;0;0;0;0;0;7;1;0;0;0;2;1;2;6;0;0;1;1;0;0;0;1;1;1;0;32;0;0;0;9;3;0;1;7;7;0;3;1;0;1;0;0;0;0;4;7;0;3;0;5;0;0;0;1;4;5;0;0;0;3;0;9;0;0;1;0;16;0;1;1;0;0;0;0;0
C. Bakambu;OSFP;Forward;7;0;14;2;0;1;2;6;2;0;7;0;0;0;1;0;2;0;0;5;1;0;0;0;0;1;2;2;0;1;2;1;1;0;0;0;0;0;0;86;0;1;2;12;0;2;2;4;4;0;0;0;2;4;0;0;0;0;5;11;2;1;1;7;0;0;0;0;6;8;0;0;0;0;0;15;2;1;0;0;25;3;2;1;0;0;0;0;0
Ramon;OSFP;Defender;2;0;3;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;3;1;0;1;1;1;0;0;0;0;1;0;0;0;1;1;3;0;0;0;1;0;0;0;1;1;3;0;0;0;0;0;3;1;0;1;0;8;0;0;0;0;0;0;0;0
N. Nkoulou;ARIS;Midfield;0;0;1;0;1;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;2;0;0;0;1;0;3;0;0;1;0;3;0;0;0;0;0;0;0;0
L. Christodoulopoulos;ARIS;Forward Midfield;1;0;1;0;0;0;2;2;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;1;0;3;0;0;1;0;1;0;0;0
Y. El-Arabi;OSFP;Forward Midfield;1;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;1;0;2;1;0;0;0;0;0;0;0
A. Gray;ARIS;Forward;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A. Ntoi;OSFP;Defender;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
D. Samass?©kou;OSFP;Midfield;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
K. Tzolakis;ARIS;Goalkeeper;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M. Panagidis;ARIS;Forward Midfield;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M. Siampanis;OSFP;Goalkeeper;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
O. Etebo;ARIS;Forward Midfield;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P. Cisse;OSFP;Defender;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R. Sgouros;ARIS;Forward Midfield;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
